country,city,address_1,reason_for_recall,address_2,product_quantity,code_info,center_classification_date,distribution_pattern,state,product_description,report_date,classification,recalling_firm,recall_number,initial_firm_notification,event_id,termination_date,more_code_info,recall_initiation_date,postal_code,voluntary_mandated,status,openfda.pharm_class_cs,openfda.pharm_class_moa,openfda.pharm_class_pe,openfda.original_packager_product_ndc,application_number,brand_name,generic_name,manufacturer_name,product_ndc,route,substance_name,rxcui,spl_id,spl_set_id,package_ndc,is_original_packager,upc,nui,pharm_class_epc,unii
United States,Davie,4955 Orange Dr,Failed Tablet/Capsule Specifications: Recall due to complaints of split or broken tablets.,,"36,538 bottles","Lot #: 605956A, 605958A, Exp. 9/30/2014; 644678M, Exp. 10/31/2014; 661841A, Exp. 11/30/2014; 717469A, Exp 2/28/2015",20140930,Nationwide and Puerto Rico,FL,"Diclofenac Sodium and Misoprostol Delayed-Release Tablets, 75 mg/0.2 mg, 60-count bottle, Rx only, Manufactured by: Watson Laboratories, Inc., Corona, CA 92880, NDC 0591-0398-60, UPC 3 05910 39860 6.",20141008,Class II,"Actavis Laboratories, FL, Inc.",D-1616-2014,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",69237,20161223,,20140424,33314-3902,Voluntary: Firm Initiated,Terminated,"['Prostaglandins E, Synthetic [CS]']",,,,'ANDA201089','DICLOFENAC SODIUM AND MISOPROSTOL','DICLOFENAC SODIUM AND MISOPROSTOL',"'Actavis Pharma, Inc.'","'0591-0397', '0591-0398'",'ORAL',"'DICLOFENAC SODIUM', 'MISOPROSTOL'","'857706', '1359105'",'f2fd7c9c-f7b8-4836-9e3f-ba215efe19c9','df8b8660-0c24-4848-8bea-c1b935090c66',"'0591-0397-19', '0591-0397-60', '0591-0398-60'",True,"'0305910397609', '0305910398606', '305910398606'","'N0000175785', 'M0017811'",'Prostaglandin E1 Analog EPC',"'0E43V0BB57', 'QTG126297Q'"
United States,Lake Forest,275 N Field Dr,Lack of assurance of sterility: ineffective crimp on fliptop vials that may result in leaking at the neck of the vials.,,"72,300 vials","Lot: 23-505-EV, Exp. 11/14",20130828,Nationwide and Puerto Rico,IL,"Diazepam Injection, USP, 5 mg/mL, 10 mL, Multiple-dose Sterile Non-pyrogenic, Fliptop Vial, C-IV, Rx Only, Hospira, Inc., Lake Forest, IL 60045, USA,  NDC 0409-3213-12",20130904,Class II,Hospira Inc.,D-927-2013,Letter,66104,20141028,,20130816,60045-2579,Voluntary: Firm initiated,Terminated,['Benzodiazepines [CS]'],,,,'ANDA071583','DIAZEPAM','DIAZEPAM',"'Hospira, Inc.'",'0409-3213',"'INTRAMUSCULAR', 'INTRAVENOUS'",'DIAZEPAM','309845','9079d34b-061e-49db-8e30-7a788bcbafa6','7e7dd743-a87b-4ab3-b6ae-f116cd0c8b0f',"'0409-3213-11', '0409-3213-12'",True,nan,"'N0000175694', 'M0002356'",'Benzodiazepine EPC','Q3JTX2Q7TU'
United States,Hawthorne,3 Skyline Dr,Failed Content Uniformity Specifications.,,1396 Bottles,"Lot #: 149400, Expiry: January 2016;   Lot #: 149649, Expiry: January 2016.",20140912,"United States including: OH, HI, NH, MS, IL, TX, CA.",NY,"Warfarin Sodium Tablets, USP Crystalline, 2 mg, 100 and 1000 Tablet Bottles, Rx Only. Mfd. by: Taro Pharmaceutical Industries, Ltd.,  Haifa Bay, Israel 26110.  Dist. by: Taro Pharmaceuticals U.S.A., Inc., Hawthorne, NY 10532. 100 Tablet Bottle NDC: 51672-4028-1, 1000 Tablet Bottle NDC: 51672-4028-3.",20140924,Class III,"Taro Pharmaceuticals U.S.A., Inc.",D-1584-2014,Letter,69075,20180518,,20140825,10532-2174,Voluntary: Firm initiated,Terminated,,,,,'ANDA040301','WARFARIN SODIUM','WARFARIN SODIUM',"'Taro Pharmaceuticals U.S.A., Inc.'","'51672-4027', '51672-4028', '51672-4029', '51672-4030', '51672-4031', '51672-4032', '51672-4033', '51672-4034', '51672-4035'",'ORAL','WARFARIN SODIUM',"'855288', '855296', '855302', '855312', '855318', '855324', '855332', '855338', '855344'",'23995412-b23d-4ea0-96df-f1b31ce4f024','8ad881e0-ca41-42ad-9d7d-eb85b3a30af0',"'51672-4027-1', '51672-4027-3', '51672-4027-7', '51672-4027-0', '51672-4028-1', '51672-4028-3', '51672-4028-7', '51672-4028-0', '51672-4029-1', '51672-4029-3', '51672-4029-7', '51672-4029-0', '51672-4030-1', '51672-4030-3', '51672-4030-7', '51672-4030-0', '51672-4031-1', '51672-4031-3', '51672-4031-7', '51672-4031-0', '51672-4032-1', '51672-4032-3', '51672-4032-7', '51672-4032-0', '51672-4033-1', '51672-4033-3', '51672-4033-7', '51672-4033-0', '51672-4034-1', '51672-4034-3', '51672-4034-0', '51672-4035-1', '51672-4035-3', '51672-4035-0'",True,"'0351672403119', '0351672403010', '0351672403218', '0351672402914', '0351672402815', '0351672403416', '0351672403515', '0351672403317'",nan,nan,'6153CWM0CL'
United States,Bridgewater,400 Somerset Corporate Blvd,Failed Dissolution Specifications: high out of specification results for dissolution when measuring the amount of drug released at certain time points.,,22 bottles,"Lots: a)18J020P, Exp 08/2020; b) 18J034P, Exp 08/2020",20190214,Nationwide in the USA and Puerto Rico,NJ,"Cardizem CD (diltiazem HCl) capsules, 300 mg, packaged in a) 30-count bottles (NDC 0187-0798-30); and b) 90-count bottles (NDC 0187-0798-42), Rx Only, Manufactured for: Valeant Pharmaceuticals North America LLC, Bridgewater, NJ 08807 USA; By: Valeant Pharmaceuticals International, Inc., Steinbach, MB R5G 1Z7, Canada.",20190220,Class III,Valeant Pharmaceuticals North America LLC,D-0490-2019,Letter,82021,20200708,,20190130,08807-2867,Voluntary: Firm initiated,Terminated,,,,,'NDA020062','CARDIZEM CD','DILTIAZEM HYDROCHLORIDE','Bausch Health US LLC',"'0187-0795', '0187-0796', '0187-0797', '0187-0798', '0187-0799'",'ORAL','DILTIAZEM HYDROCHLORIDE',"'830795', '830798', '830801', '830803', '830837', '830839', '830845', '830847', '830861', '830863'",'2329929b-21b6-49a4-be2b-4d2026c732d8','1042fa13-e6af-46b9-8008-6c941f0978b1',"'0187-0795-30', '0187-0795-42', '0187-0795-49', '0187-0796-30', '0187-0796-42', '0187-0796-49', '0187-0796-50', '0187-0797-30', '0187-0797-42', '0187-0797-49', '0187-0798-30', '0187-0798-42', '0187-0799-42'",True,nan,nan,nan,'OLH94387TE'
United States,Princeton,107 College Rd E,Failed dissolution specifications - low dissolution  results at S3 stage.,,12132 cartons,"Lot # KB50877, KB50878, Exp 11/17; KB50878, 01KB60251, Exp 3/18",20170302,U.S. Nationwide,NJ,"Zenatane (isotretinoin) capsules, 20 mg, packaged in 30-count  cartons (3 x 10 blister cards), Rx Only, Manufactured By:Cipla Limited Kurkumbh Village Pune 413802 India, Manufactured For: Dr. Reddy's Laboratories, Bachupally 500 090  India, NDC 55111-136-81",20170308,Class III,"Dr. Reddy's Laboratories, Inc.",D-0507-2017,Letter,76539,20181219,,20170215,08540-6623,Voluntary: Firm initiated,Terminated,['Retinoids [CS]'],,,,'ANDA202099','ZENATANE','ISOTRETINOIN',"""Dr. Reddy's Laboratories Limited""","'55111-113', '55111-135', '55111-136', '55111-137'",'ORAL','ISOTRETINOIN',"'197843', '197844', '197845', '403930', '1373333', '1373335', '1373337', '1605088'",'1f5178c1-0f6f-824d-d0ee-1b973377ccc6','27b3cf26-f22e-5b70-1c24-009933b7c6ee',"'55111-135-79', '55111-135-81', '55111-136-79', '55111-136-81', '55111-137-79', '55111-137-81', '55111-113-79', '55111-113-81', '55111-113-78'",True,nan,"'N0000175607', 'M0018962'",'Retinoid EPC','EH28UP18IF'
United States,Sellersville,650 Cathill Rd,Failed Impurity/Degradation Specification; an impurity identified as N-Butyl-Benzene Sulfonamide (NBBS) was detected during impurity testing,,"47,200 blister packs","NDC 0555-9028-58, Lot numbers 33802123A, exp 4/2013; 33802202A, exp 5/2013; 33802203A, exp 5/2013; and 33802204A, exp 5/2013.",20130705,Nationwide distribution.  No foreign or government accounts.,PA,"Junel(TM) Fe 1.5/30 (norethindrone acetate and ethinyl estradiol tablets, USP and ferrous fumarate tablets), 28 day regimen, Rx only, Barr laboratories, Pomona, NY --- NDC 0555-9028-58",20130717,Class III,"Teva Pharmaceuticals USA, Inc.",D-682-2013,Letter,64644,20140410,,20130315,18960-1512,Voluntary: Firm initiated,Terminated,,['Estrogen Receptor Agonists [MoA]'],,,'ANDA076380','JUNEL','NORETHINDRONE ACETATE AND ETHINYL ESTRADIOL',"'Teva Pharmaceuticals USA, Inc.'","'0555-9025', '0555-9026', '0555-9027', '0555-9028'",'ORAL',"'NORETHINDRONE ACETATE', 'ETHINYL ESTRADIOL'","'259176', '1358762', '1358763', '1358765', '1358776', '1358780', '1359022', '1359023', '1359025', '1359028', '1359030'",'9fd530a8-adc6-4bc2-b5d8-3d9b51be9a59','8b82ad14-580c-4145-b825-dce849f95363',"'0555-9025-42', '0555-9026-58', '0555-9027-42', '0555-9028-58'",True,nan,"'N0000175825', 'N0000000100'",'Estrogen EPC',"'9S44LIC7OJ', '423D2T571U'"
United States,Miami,11960 Sw 144th St,"Defective Delivery System: Out of Specification (OOS) results for the z-statistic value, which relates to the patients and caregiver ability to remove the release liner from the patch adhesive prior to administration, were obtained.",,"117,600 patches","Lot #70132, Exp. 09/14",20140320,Nationwide.,FL,"Daytrana (methylphenidate) transdermal system patch, Delivers 30 mg over 9 hours (3.3mg/hr), 1patch per pouch , packaged in 30-count patches per box, Rx Only.Manufactured for Noven Therapeutics, LLC, Miami, FL 33186, By Noven Pharmaceuticals, Inc., Miami, FL 33186. NDC 68968-5555-3.",20140326,Class II,"Noven Pharmaceuticals, Inc.",D-1172-2014,Letter,67718,20190319,,20140213,33186-6109,Voluntary: Firm initiated,Terminated,,,['Central Nervous System Stimulation [PE]'],,'NDA021514','DAYTRANA','METHYLPHENIDATE',"'Noven Therapeutics, LLC'","'68968-5552', '68968-5553', '68968-5554', '68968-5555'",'TRANSDERMAL','METHYLPHENIDATE',"'753436', '753437', '753438', '753439', '753440', '753441', '753442', '753443'",'953cd7a9-7109-48b5-b1dc-f4f38e485fe7','2c312c31-3198-4775-91ab-294e0b4b9e7f',"'68968-5552-3', '68968-5553-3', '68968-5554-3', '68968-5555-3'",True,nan,"'N0000175739', 'N0000175729'",'Central Nervous System Stimulant EPC','207ZZ9QZ49'
United States,Lexington,300-400 Shire Way,Presence of Particulate Matter; Particulates identified as stainless steel and barium sulfate.,,8359 vials,"US: Lot #:  FEW13-001, FEW13-002, FED13-006; Expiry: 10/15.  Mexico: Lot #: FED 013-010; Expiry: 10/15.  Columbia: Lot #: FED 013-011; Expiry: 10/15.",20140418,"US Nationwide including Puerto Rico; Mexico, Columbia",MA,"VPRIV¿ (velaglucerase alfa for injection) , Lyophilized Powder, 400 Units/vial, Rx Only. Shire Human Genetic Therapies, Inc. 300 Shire Way, Lexington, MA 02421. NDC: 54092-701-04.",20140430,Class I,"Shire Human Genetic Therapies, Inc.",D-1251-2014,Letter,67690,20160831,,20140314,02421-2101,Voluntary: Firm initiated,Terminated,,,,,'BLA022575','VPRIV','VELAGLUCERASE ALFA',"'Takeda Pharmaceuticals America, Inc.'",'54092-701','INTRAVENOUS','VELAGLUCERASE ALFA',"'901808', '901812'",'36373dc0-e72a-43c6-bdef-03025667e3a9','ca02f7a4-ae4f-43c1-a06a-259fe4fcf9cf','54092-701-04',True,nan,'N0000175820','Hydrolytic Lysosomal Glucocerebroside-specific Enzyme EPC','23HYE36B0I'
United States,Jersey City,Harborside Financial Center,Labeling; Label Mixup; blister lidding foil and shell-pack labeled as 10 mg but package actually contains 5 mg tablets,Plaza V- Suite 1900,"40,621 blister packs","Lots W00733 and W00946, exp Apr 2019",20170531,Nationwide,NJ,"Saphris 10 mg (asenapine) sublingual tablets, 6x10 count blister packs, Rx only, Black Cherry Flavor, Manufactured by: Catalent UK Swindon, Zydis Ltd, Blagrove, Swindon, Wilshire SN5 BRU, UK Distributed by Forest Pharmaceuticals, Inc. subsidiary of Forest Laboratories, LLC, Cincinnati OH 45209 USA --- NDC 0456-2410-60; Shellpack containing 1 blister card --- NDC 0456-2410-06",20170607,Class II,"Forest Laboratories, LLC",D-0880-2017,Letter,77315,20181115,,20170518,07311,Voluntary: Firm initiated,Terminated,,,,,'NDA022117','SAPHRIS','ASENAPINE MALEATE',"'Allergan, Inc.'","'0456-2402', '0456-2405', '0456-2410'",'SUBLINGUAL','ASENAPINE MALEATE',"'859975', '859979', '859981', '859983', '1606337', '1606490'",'5d023cc1-46bb-4846-99f1-fa5d0a547bee','5429f134-839f-4ffc-9944-55f51238def8',"'0456-2402-10', '0456-2402-06', '0456-2402-60', '0456-2402-11', '0456-2402-63', '0456-2405-10', '0456-2405-06', '0456-2405-60', '0456-2405-11', '0456-2405-63', '0456-2410-10', '0456-2410-06', '0456-2410-60', '0456-2410-11', '0456-2410-63'",True,nan,nan,nan,'CU9463U2E2'
United States,Louisville,416 S Taylor Ave,"Labeling: Not Elsewhere Classified. This recall has been initiated due to mislabeling. The printed carton used in manufacturing both batches contained text for both 2% Xylocaine DENTAL and Articadent DENTAL. Xylocaine DENTAL is a trade name for Lidocaine HCL 2% and Epinephrine 1: 100,000 formulation, while Articadent DENTAL is a trade name for Articaine HCI 4% and Epinephrine 1 :100,000. The cartridges contained within the  printed carton are labeled appropriately as Articadent DENTAL.",,240 cartons of 50 glass cartridges each,"Lot # D02599A, exp. Sept 2020, D02608B, exp. October 2020",20190528,Nationwide in the USA,CO,"Articaine DENTAL, Articane hydrochloride 4% and epinephrine 1:100,000,   50 cartridges. 1.7 mL each, Rx only, Manufactured for: DENTSPLY Pharmaceutical, by Novocol Pharmaceutical of Canada, Inc. York, PA 17404, NDC 66312-601-16 Reorder #: 51116",20190529,Class II,Septodont Inc.,D-1307-2019,Letter,82760,20201119,,20190502,80027-3028,Voluntary: Firm initiated,Terminated,,,,,'NDA020971','ARTICADENT','ARTICAINE HYDROCHLORIDE AND EPINEPHRINE BITARTRATE','Dentsply Pharmaceutical',"'66312-601', '66312-602'",'SUBCUTANEOUS',"'ARTICAINE HYDROCHLORIDE', 'EPINEPHRINE BITARTRATE'","'1011646', '1011648', '1595029', '1595035'",'9bc537d4-9261-4276-9cad-bc1b10faabf2','9ca8fb43-4f34-47c0-8b79-3b5bd1eaee00',"'66312-601-16', '66312-602-16'",True,'0000004235644',nan,nan,"'30Q7KI53AK', 'QS9014Q792'"
